"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 13:06:45 GMT 2022","Wed Sep 28 13:07:04 GMT 2022","19302","","US-0002 Adicionar item ao carrinho ","","","","Valores menores a 200 não tem desconto do 10%",""
"passed","Wed Sep 28 13:07:28 GMT 2022","Wed Sep 28 13:08:03 GMT 2022","35103","","US-0002 Adicionar item ao carrinho ","","","","Valida desconto de 15% para valores acima de R$ 600 ",""
"passed","Wed Sep 28 13:09:09 GMT 2022","Wed Sep 28 13:09:10 GMT 2022","661","","[US-0003] – API de cupons","","","","[PUT] Deve Modificar o codigo e descripcao de um Cupom pelo ID",""
"passed","Wed Sep 28 13:09:08 GMT 2022","Wed Sep 28 13:09:09 GMT 2022","371","","[US-0003] – API de cupons","","","","[POST] Nome do cupom não pode ser repetido",""
"passed","Wed Sep 28 13:08:47 GMT 2022","Wed Sep 28 13:08:53 GMT 2022","5203","","US0001 - Funcionalidade Login","","","","Deve validar mensagem de erro com senha inválida",""
"passed","Wed Sep 28 13:09:09 GMT 2022","Wed Sep 28 13:09:09 GMT 2022","333","","[US-0003] – API de cupons","","","","[GET] Deve listar buscando por ID do cupom",""
"passed","Wed Sep 28 13:09:09 GMT 2022","Wed Sep 28 13:09:09 GMT 2022","496","","[US-0003] – API de cupons","","","","[GET] Deve Modificar um  os Cupons cadastrados",""
"passed","Wed Sep 28 13:08:53 GMT 2022","Wed Sep 28 13:08:58 GMT 2022","5233","","US0001 - Funcionalidade Login","","","","Deve validar mensagem de erro com usuario inválido",""
"passed","Wed Sep 28 13:08:35 GMT 2022","Wed Sep 28 13:08:47 GMT 2022","11815","","US0001 - Funcionalidade Login","","","","Deve fazer login com sucesso",""
"passed","Wed Sep 28 13:06:02 GMT 2022","Wed Sep 28 13:06:33 GMT 2022","31196","","US-0002 Adicionar item ao carrinho ","","","","Deve permitir inserir 9 itens de um mesmo produto ao carrinho com sucesso ",""
"passed","Wed Sep 28 13:06:33 GMT 2022","Wed Sep 28 13:06:45 GMT 2022","11823","","US-0002 Adicionar item ao carrinho ","","","","Deve validar não é permitido 10 itens de um mesmo produto ao carrinho ",""
"passed","Wed Sep 28 13:09:07 GMT 2022","Wed Sep 28 13:09:08 GMT 2022","1000","","[US-0003] – API de cupons","","","","[POST] Criar um Cupom",""
"passed","Wed Sep 28 13:07:04 GMT 2022","Wed Sep 28 13:07:28 GMT 2022","23721","","US-0002 Adicionar item ao carrinho ","","","","Valida desconto de 10% para valores entre R$ 200 e R$ 600  ",""
